feature,importance
payment_type_enc,0.301322
cross_bank_flow_flag,0.1885601
is_cross_bank,0.11087848
account_pair_tx_count_before,0.060848553
source_unique_targets_total_before,0.042035043
source_out_tx_count_1h,0.03936234
is_weekend,0.027773548
fan_out_score,0.025185606
account_pair_amount_sum_before,0.020797173
currency_enc,0.017771982
day_of_week,0.016002225
target_unique_sources_total_before,0.013857467
source_out_tx_count_total_before,0.012308985
amount,0.011988188
target_in_tx_count_1h,0.0094482545
source_out_tx_count_24h,0.00904614
source_bank_enc,0.008869608
target_in_tx_count_total_before,0.0088257445
hour,0.0077649206
rapid_movement_flag,0.0072443406
source_out_amount_sum_total_before,0.0071944483
target_in_amount_sum_1h,0.0070816088
source_out_amount_sum_24h,0.0063540535
sweep_ratio,0.0062548015
target_in_tx_count_24h,0.006238309
source_out_amount_sum_1h,0.006089737
fan_in_score,0.005691584
target_in_amount_sum_total_before,0.0055789235
target_bank_enc,0.0049204654
target_in_amount_sum_24h,0.0047053644
